ParentSKU,Marke,ProductName,Farbcode,Current_Basisfarbe,Current_Highlight_1,Cut,Color_confidence,Resolution_source,Revenue_EUR,Flag
KS10024-010,KEEPERsport,KEEPERsport Varan7 Champ GC TW-Handschu,010,yellow,black,Rollfinger,high,mcp_ks,24837.0,MCP_KS_VERIFY
U1011377-001,uhlsport,uhlsport FM Cybertec Absolutgrip SC Tor,,white,blue,Hybrid,medium,mcp,24527.0,MEDIUM_CONF
U1011374-001,uhlsport,uhlsport FM Cybertec Supergrip+ Finger,,white,blue,Hybrid,medium,mcp,24336.0,MEDIUM_CONF
KS10070-166,KEEPERsport,KEEPERsport Varan8 Pro NC Torwarthandsc,166,black,green,Negative Cut,high,mcp_ks,24210.0,MCP_KS_VERIFY
KS10080-804,KEEPERsport,KEEPERsport Varan8 Zone RC TW-Handschuh,804,white,,Regular Cut,high,mcp_ks,24189.0,MCP_KS_VERIFY
KS10020-010,KEEPERsport,KEEPERsport Varan7 Hero NC TW-Handschuh,010,yellow,black,Negative Cut,high,mcp_ks,23976.0,MCP_KS_VERIFY
KS10007-116,KEEPERsport,KEEPERsport Varan6 Premier NC TW-Handsc,116,red,green,Negative Cut,high,mcp_ks,23376.0,MCP_KS_VERIFY
P042120-01,Puma,PUMA X Ks Future Ultimate Nc Torwarthan,,white,,Negative Cut,medium,mcp,22743.0,MEDIUM_CONF
KS10014-413,KEEPERsport,KEEPERsport Zone RC,413,black,blue,Regular Cut,high,mcp_ks,22608.0,MCP_KS_VERIFY
KS10028-471,KEEPERsport,KEEPERsport Varan7 Challenge NC TW-Hand,471,black,turquoise,Negative Cut,high,mcp_ks,22131.0,MCP_KS_VERIFY
10371749_JY6300_JY6300,adidas,Adidas Predator Pro Hybrid Born for Goal,,red,white,,medium,mcp,20940.0,MEDIUM_CONF
KS10028-010,KEEPERsport,KEEPERsport Varan7 Challenge NC TW-Hand,010,yellow,black,Negative Cut,high,mcp_ks,19754.0,MCP_KS_VERIFY
U101137901-2000,uhlsport,uhlsport FM Cybertec Maignan Absolutgri,,white,orange,Negative Cut,medium,mcp,19595.0,MEDIUM_CONF
U101132801-2000,uhlsport,uhlsport Prediction Ultragrip HN Maignan,,white,blue,Hybrid,medium,mcp,19001.0,MEDIUM_CONF
ETS5170995_4010,reusch,Reusch Attrakt Freegel Fusion TW-Handsc,,blue,,Hybrid,medium,mcp,18971.0,MEDIUM_CONF
KS10070-000,KEEPERsport,KEEPERsport Pro Elite NC,000,white,,Negative Cut,high,mcp_ks,18041.0,MCP_KS_VERIFY
R5360956-5010,reusch,Reusch Pure Contact Venomous Gold X TW-,,black,green,Hybrid,medium,mcp,16975.0,MEDIUM_CONF
KS10008-116,KEEPERsport,KEEPERsport Varan6 Premier NC 5FS Repl.,116,red,green,Negative Cut,high,mcp_ks,16356.0,MCP_KS_VERIFY
KS10033-630,KEEPERsport,KEEPERsport Hero x Pro Elite NC 25years,630,black,,Negative Cut,high,mcp_ks,16007.0,MCP_KS_VERIFY
KS10007-425,KEEPERsport,KEEPERsport Varan6 Premier NC TW-Handsc,425,blue,green,Negative Cut,high,mcp_ks,14843.0,MCP_KS_VERIFY
ETS5170900_2199,reusch,Reusch Pure Contact Fusion TW-Handschuh,,yellow,blue,Negative Cut,medium,mcp,14438.0,MEDIUM_CONF
RH1007-991,rehab,rehab  Fighter CG4 NC,,,,Negative Cut,low,unresolved,14068.0,NO_COLOR
E7221901,erima,Erima Flexinator Ultra Knit TW-Handschu,,grey,green,Negative Cut,medium,mcp,13874.0,MEDIUM_CONF
R5160901-4011,reusch,reusch Pure Contact Gold X #KsEdition,,white,blue,,medium,mcp,13804.0,MEDIUM_CONF
U1011394012000,uhlsport,uhlsport Prediction Absolutgrip HN Maig,,white,pink,Hybrid,medium,mcp,13579.0,MEDIUM_CONF
10379386_1011373012026_01,uhlsport,uhlsport FM Cybertec Ultragrip HN #392,,black,,Negative Cut,medium,mcp,12776.0,MEDIUM_CONF
E7221904,erima,Erima Skinator Hybrid Torwarthandschuh,,,,Hybrid,medium,mcp,12702.0,NO_COLOR
U101133301-1113,uhlsport,uhlsport Prediction Energy Absolutgrip,,yellow,blue,Negative Cut,medium,mcp,12632.0,MEDIUM_CONF
10373884_1011398_01,uhlsport,Fangmaschine Absolutgrip Tight HN,,white,,Negative Cut,medium,mcp,12533.0,MEDIUM_CONF
10379388_1011378012026_01,uhlsport,uhlsport FM Cybertec Absolutgrip HN Fit,,black,,Negative Cut,medium,mcp,12412.0,MEDIUM_CONF
KS10002-425,KEEPERsport,KEEPERsport Varan6 Hero Power TW-Handsc,425,blue,green,Hybrid,high,mcp_ks,11910.0,MCP_KS_VERIFY
U1011376-001,uhlsport,uhlsport FM Cybertec Flex HN Torwarthan,,white,blue,Negative Cut,medium,mcp,11432.0,MEDIUM_CONF
RH1003-011,rehab,Rehab Torwarthandschuhe Extreme Gelb F0,,yellow,black,Negative Cut,medium,mcp_rehab,11408.0,MEDIUM_CONF
U1011333012024,uhlsport,uhlsport Earth Edition Absolutgrip HN T,,white,blue,Negative Cut,medium,mcp,11184.0,MEDIUM_CONF
R5160900-3002,reusch,reusch Pure Contact Fusion #KsEd.,,red,white,Negative Cut,medium,mcp,10855.0,MEDIUM_CONF
R5470155-4411,reusch,reusch Attrakt Gold NC,,black,blue,,medium,mcp,10415.0,MEDIUM_CONF
U1011385-001,uhlsport,uhlsport Fangmaschine Aquagrip HN Torwa,,blue,,Hybrid,medium,mcp,10352.0,MEDIUM_CONF
RH1020-911,rehab,Rehab Master NC RG2 FS Torwarthandschuh,,black,orange,Negative Cut,medium,mcp_rehab,10197.0,MEDIUM_CONF
KS10006-116,KEEPERsport,KEEPERsport Varan6 Premier NC 5FS Hands,116,white,green,Negative Cut,high,mcp_ks,10190.0,MCP_KS_VERIFY
KS10003-633,KEEPERsport,KEEPERsport Varan6 PRO NC Torwarthandsc,633,yellow,black,,high,mcp_ks,10174.0,MCP_KS_VERIFY
KS10003-425,KEEPERsport,KEEPERsport Varan6 PRO NC Torwarthandsc,425,blue,green,Negative Cut,high,mcp_ks,9933.0,MCP_KS_VERIFY
P042064-13,Puma,PUMA Future Ultimate Nc Torwarthandschu,,black,,Negative Cut,medium,mcp,9790.0,MEDIUM_CONF
10180246_5160139_7040_7040_7701,reusch,Reusch Attrakt Freegel Gold TW-Handschu,,black,green,,medium,mcp,9774.0,MEDIUM_CONF
E7222005,erima,Erima Skinator Torwarthandschuh Schwarz,,black,orange,Negative Cut,medium,mcp,9596.0,MEDIUM_CONF
10373882_1011396_01,uhlsport,uhlsport FM Supergrip+ HN Torwarthandsc,,white,,Negative Cut,medium,mcp,9173.0,MEDIUM_CONF
R5170135-4010,reusch,reusch ATTRAKT FREEGEL GOLD,,white,blue,,medium,mcp,9091.0,MEDIUM_CONF
R5670990-4414,reusch,Reusch Attrakt Freegel Fusion Ortho-Tec,,blue,,Hybrid,medium,mcp,9022.0,MEDIUM_CONF
KS10004-633,KEEPERsport,KEEPERsport Varan6 PRO NC Aqua TW-Hands,633,yellow,black,,high,mcp_ks,9006.0,MCP_KS_VERIFY
KS10001-425,KEEPERsport,KEEPERsport Varan6 Hero NC Torwarthands,425,green,,Negative Cut,high,mcp_ks,8963.0,MCP_KS_VERIFY
