ParentSKU,Marke,MCP_Basisfarbe,Desc_Basisfarbe,Desc_colors,Revenue,Status
EL9933818,Elite Sport,white,black,black,667.79,found
NGS3884-892,NIKE,orange,,,665.93,no_color_in_text
NGS3886-644,NIKE,red,red,red,663.49,found
R3870238-296,reusch,blue,,,662.97,no_color_in_text
R3370822-409,reusch,,,,659.95,no_description
HO0520380,HO Soccer,black,,,658.63,no_color_in_text
ETS5072531_6001,reusch,black,,,658.62,no_color_in_text
U1055-02,uhlsport,red,,,658.53,no_color_in_text
U1145,uhlsport,black,,,657.84,no_color_in_text
HO510824IT,HO Soccer,green,white,white,653.3,found
U0190,uhlsport,,,,652.57,no_color_in_text
P041483-01,Puma,orange,,,644.09,no_color_in_text
ETS7221905_951134,erima,black,,,639.79,no_description
NPGS265-100,NIKE,white,,,634.66,no_description
U1221-01,uhlsport,yellow,,,631.91,no_description
